node_id,t,budget,K,ep_utility,ac_utility
4,4,4200,10,60,50
4,5,4200,10,60,52
4,6,4200,10,60,53
4,7,4200,10,60,55
4,8,4200,10,60,55
4,9,4200,10,60,55
4,10,4200,10,60,55
4,11,4200,10,39.802400253442244,26
4,12,4200,10,0,0
4,1,4200,11,60,23
4,2,4200,11,60,28
4,3,4200,11,60,37
4,4,4200,11,60,45
4,5,4200,11,60,49
4,6,4200,11,60,52
4,7,4200,11,60,53
4,8,4200,11,60,58
4,9,4200,11,0,0
4,10,4200,11,0,0
4,11,4200,11,0,0
4,12,4200,11,0,0
4,1,4200,12,60,20
4,2,4200,12,60,38
4,3,4200,12,60,44
4,4,4200,12,60,49
4,5,4200,12,60,51
4,6,4200,12,60,52
4,7,4200,12,60,52
4,8,4200,12,60,54
4,9,4200,12,45.38215656842144,28
4,10,4200,12,0,0
4,11,4200,12,0,0
4,12,4200,12,0,0
4,1,4200,13,60,30
4,2,4200,13,60,50
4,3,4200,13,60,57
4,4,4200,13,60,57
4,5,4200,13,60,58
4,6,4200,13,60,59
4,7,4200,13,60,59
4,8,4200,13,39.94082214081498,24
4,9,4200,13,0,0
4,10,4200,13,0,0
4,11,4200,13,0,0
4,12,4200,13,0,0
4,1,4200,14,60,21
4,2,4200,14,60,41
4,3,4200,14,60,44
4,4,4200,14,60,50
4,5,4200,14,60,55
4,6,4200,14,60,57
4,7,4200,14,60,58
4,8,4200,14,35.60882214081497,24
4,9,4200,14,0,0
4,10,4200,14,0,0
4,11,4200,14,0,0
4,12,4200,14,0,0
4,1,4200,15,60,35
4,2,4200,15,60,46
4,3,4200,15,60,54
4,4,4200,15,60,55
4,5,4200,15,60,59
4,6,4200,15,60,59
4,7,4200,15,60,52
4,8,4200,15,9.883205535203743,6
4,9,4200,15,0,0
4,10,4200,15,0,0
4,11,4200,15,0,0
4,12,4200,15,0,0
4,1,4800,5,46.943999999999996,13
4,2,4800,5,49.49914769377329,18
4,3,4800,5,49.52389403097569,23
4,4,4800,5,49.49914769377329,31
4,5,4800,5,49.46529864348138,31
4,6,4800,5,49.4301775424916,33
4,7,4800,5,49.3959431663366,34
4,8,4800,5,49.36323321122244,35
4,9,4800,5,49.332187882105764,35
4,10,4800,5,49.30277004377178,35
4,11,4800,5,49.274880304130676,35
4,12,4800,5,49.24840180573355,35
4,1,4800,6,60,15
